O=C1C(=O)C(Br)=C(Br)C(Br)=C1Br
O=C([N]/N=C(\c1[c][c][c][c][c]1)c1[c][c][c][c]n1)c1[c][c][c][c][c]1
[C]/C(=N\[N]C(=O)c1[c][c][c][c][c]1)c1[c][c][c]c(/C([C])=N/[N]C(=O)c2[c][c][c][c][c]2)n1
[O]C(=O)c1[c][c][c][c][c]1
O=C([S])c1[c][c][c][c][c]1
[C]N([C])C(=O)N([C])[C]
[C]c1[c]c([C])n(C([O])=O)n1
[O][U]([O])([O])([O])([O])OC(=O)[C]=O
[O]C(=O)C(c1[c][c][c][c][c]1)(c1[c][c][c][c][c]1)c1[c][c][c][c][c]1
[O]C(=O)[C@@]12[C]3[C][C][C]1[C]2[C]3
[O]C(=O)C12[C][C]3[C][C]([C][C]([C]3)[C]1)[C]2
[C][C]C(=O)[C]([C][N])C([O])=O
[C][C](Cl)C([O])=O
[C]C(=O)/[C]=C(\[O])[C]1C(=S)[C]=[C]C1=S
[C]C(=O)O[Na]
[C]C(=O)[C]C([C])=O
[C]C(=O)[N]/N=C(\c1[c][c][c][c][c]1)c1[c][c][c][c]n1
[C]C([O])=O
[O]C(=O)[C]1N=C(c2[c]c(F)[c]c(F)[c]2)N=C1C([O])=O
O=C1ON=C(c2[c][c][c][c][c]2)[C]1C(=O)c1[c][c][c][c][c]1
[C][C]([C])C(=O)[C]1C(=O)ON=C1c1[c][c][c][c][c]1
[C]#CC(=O)[C]C(=O)C(F)(F)F
O=C([C]C(=O)C(F)(F)F)c1[c][c]c2[c][c]c3[c][c][c]c4[c][c]c1c2c34
[C]C(=O)[C]C(=O)C(F)(F)F
[C][C][C](C(=O)[C]C(=O)C(F)(F)F)C([C])=S
[C][C][C]([C][C])C(=O)[C]C(=O)C(F)(F)F
O=C([C]C(=O)C(F)(F)F)[C]=S
O=C([C]F)[C]C(=O)C(F)(F)F
[C][C][C]S[C]C(=O)[C]C(=O)C(F)(F)F
O=C([C][C][C][C][S])[C]C(=O)C(F)(F)F
[C][C]OC([C])(O[C][C])C(=O)[C]C([C])=O
O=C([C]F)[C]C(=O)C(F)(F)[C](F)F
[O]c1[c][c][c][c]c1C(=O)[C]C(=O)c1[c][c][c][c][c]1
O=C([C]C(=O)c1[c][c]c2[c][c][c][c]c2[c]1)[C]1[C][C](F)[C]1F
O=C([C]C(=O)C(F)(F)F)c1[c][c]c(F)[c][c]1
[C]c1[c][c]c(C(=O)[C]C(=O)C(F)(F)F)[c][c]1
O=C([C]C(=O)c1[c][c]c2c([c]1)[C]=C1[C]=[C][C]=[C][C]12)[C]1[C][C][C]1
O=C([C]C(=O)c1[c][c]c2[c][c]c3[c][c][c]c4[c][c]c1c2c34)[C](F)F
O=C([C]C(=O)C(F)(F)C(F)(F)F)c1[c][c]c2[c][c][c][c]c2[c]1
O=C([C]C(=O)C(F)(F)F)C1=[C][C]=[C][C]1
O=C([C]C(=O)C(F)(F)F)c1[c][c]c2c3[c][c][c][c]c3c3[c][c][c][c]c3c2[c]1
[C][C][C][C][C][C]n1c2[c][c][c][c]c2c2[c]c(C(=O)[C]C([C])=O)[c][c]c21
O=C([C]C(=O)C(F)(F)F)C1=[C][C][C]=[C]1
[C]C(=O)[C]C(=O)[C]=[C]
[C]C(=O)[C]C(=O)[C]F
O=C([C]C(=O)[C]1[C](F)[C][C]S1(F)F)[C]S(F)(F)[C][C][C]F
O=C([C]C(=O)[C]1[C](F)[C]=[C]S1(F)F)[C]S(F)(F)[C][C][C]F
O=C([C]F)[C]C(=O)[C]F
[O]C(=O)[C]N([C][C]1[C][C][C]([C]N([C]C([O])=O)[C]C([O])=O)O1)[C]C([O])=O
[O]C(=O)[C]N([C][C]N([C]C([O])=O)[C]C([O])=O)[C]C([O])=O
[C]N([C][C]N([C][C]N([C][C]N([C]C([O])=O)[C]C([O])=O)[C]C([O])=O)[C]C([O])=O)[C]C([O])=O
[O]C(=O)[C]N([C][C]O[C][C]O[C][C]N([C]C([O])=O)[C]C([O])=O)[C]C([O])=O
[O]OC(=O)[C]N([C][C]N([C][C]N([C]C([O])=O)[C]/C(=N/c1[c]nc2[c][c][c][c]c2[c]1)O[O])[C]C([O])=O)[C]C(=O)[N]c1[c]nc2[c][c][c][c]c2[c]1
[O]C(=O)[C]N([C][C]N([C]C([O])=O)[C]C(=O)[N]c1[c]nc2[c][c][c][c]c2[c]1)[C][C]N([C]C([O])=O)[C]C(=O)[N]c1[c]nc2[c][c][c][c]c2[c]1
[O][C][C]N([C][C]N([C]C([O])=O)/[C]=[C]\[O])[C]C([O])=O
O=C([C]Oc1[c][c][c][c]c1O[C]C(=O)O[Na])O[Na]
[O]C(=O)[C]Oc1[c][c][c][c]c1O[C]C([O])=O
[C]N([C])C(=O)[C]O[C]C([O])=O
O=C([C]O[C]C(=O)O[Na])O[Na]
[O]C(=O)[C]O[C]C(=O)O[Na]
[O]C(=O)[C]O[C]C([O])=O
[C][C]([C])N([C]([C])[C])C(=O)[C]S[C]C(=O)N([C]([C])[C])[C]([C])[C]
[N][C]C([O])=O
[N]C([N])=O
[C]/C(=N\[N]C([N])=O)c1[c][c][c]c(/C([C])=N/[N]C([N])=O)n1
[N]C(=O)[N]C([N])=O
[O]C(=O)c1[c][c][c][c]c1[O]
[O]C(=O)c1[c][c]c(C([O])=O)n[c]1
[O]C(=O)c1[c][c]c(Cl)[c][c]1
[C]c1[c][c]c(-c2[c]nc(-c3[c][c][c]c(C([O])=O)n3)c3c2[C][C][C]3)[c][c]1
[O][C](C([O])=O)c1[c][c][c][c][c]1
[O]C([O])=O
[O]C(=O)c1c(F)c(F)c(F)c(F)c1F
[C]C([C])([C])c1[c][c]c(-c2[c][c][c]c(-c3[c][c]c(C([C])([C])[C])[c][c]3)c2C([S])=S)[c][c]1
[C]N([C])C([S])=S
[C]N([C][C]1[C][C][C]1)C([S])=S
[C]N([C][C][C][C]=[C])C([S])=S
[C][C]([C])[C]N([C][C]([C])[C])C([S])=S
[S]C(=S)N1[C][C]2[C][C]([C]2)[C]1
[S]C(=S)N1[C][C]O[C][C]1
[S]C(=S)N1[C][C][C][C]1
[S]C(=S)N1[C][C][C][C][C][C]1
[C][C]C(=[C])C(=O)[C]C(=O)C(F)(F)F
[C][C][C]C(=[C])[C][C]
[C][C][C@@]1([C]C(=[C])O[O])OO[C]1[C]C(=[C])[O]
[C][C]C(=[C])[C][C]=[C]
F[C][C]1[C]C1=C1[C][C@]12C(=C=[C]F)[C]C2(F)F
[C][C]=C=[C]/[C]=[C]\[C]=C=C1[C][C][C]C#C[C]C(=[C])[C]1
[C][C][C]=C=[C][C]
[C]O[C][C]/N=C([C])/[C]=C(\[O])C([C])([C])[C]
[O]/C(=[C]\C(=O)C(F)(F)F)c1[c][c][c]s1
[C][C]([S])[C][C][C][C][C][C]/C([O])=[C]/C(=O)C(F)(F)F
[C]C([C])([C])C(=O)/[C]=C(\[O])C([C])([C])[C]
[C]/C([O])=[C]/C(=O)c1[c][c]c([C])[c][c]1
[C]/C([O])=[C]/C(=O)c1[c][c][c][c][c]1
[C]C(=O)/[C]=C(/[C])[O]
[O][C](/[C]=C(\[O])c1[c][c][c][c][c]1)c1[c][c][c][c][c]1
[C][C]/C(=[C]\[C])C(=O)[C]C(=O)C(F)(F)F
[C]N([C])C(=[N])N([C])[C]
[C]C([C])=[N]
[C][C]C(=[N])[C][C]
[O]/C(=[C]\C(=O)C(F)(F)F)c1[c][c]c2[c][c][c][c]c2[c]1
[O]/C(=[C]\C(=O)C(F)(F)F)c1[c][c][c]o1
[O]/C(=[C]\C(=O)C(F)(F)F)c1[c][c][c][c][c]1
[C]/[C]=[C]\S[C]/C([O])=[C]/C(=O)C(F)(F)F
[O]/C(=[C]\C(=O)C(F)(F)F)C1=[C][C]=[C][C]1
[C]Oc1[c]c2c([c]c1O[C])C(=O)C(C(=O)C(F)(F)F)=[C]2
O=C1C(C(=O)C(F)(F)F)=[C]c2[c][c][c][c]c21
O=C([C](F)C(=O)C(F)(F)F)C(F)(F)F
[C]C1=NN(c2[c][c][c][c][c]2)C(=O)[C]1C(=O)C(F)(F)F
[C]=C([C]S/[C]=[C]\[S])C(=O)[C]C(=O)C(F)(F)F
[C]C([C])([C])C(=O)[C]C(=O)C(F)(F)F
[C][C]C([C])([C][C])C(=O)[C]C(=O)C([C])([C])[C]
[C][C]n1[c]c(C(=O)[C]C(=O)C(F)(F)F)c2[c][c][c][c]c21
[C]Oc1[c][c]c(C(=O)[C]C(=O)C(F)(F)F)[c][c]1
O=C([C]C(=O)C(F)(F)F)C1=[C][C]=[C]C1=S
O=C([C]C(=O)C(F)(F)F)c1[c][c][c]o1
[C][C][C][C][C][C]n1c2[c][c][c][c]c2c2[c]c(C(=O)[C]C(=O)C(F)(F)F)[c][c]c21
[C][C]1[C]([C])C1([C])C(=O)[C]C(=O)C([C])([C])[C]
O=C([C]C(=O)C(F)(F)F)[C]([C][S])C(=S)[C][C]1[C][C]1
[C][C][C]([C]=[C])C(=O)[C]C(=O)C(F)(F)F
[C][C][C][C]([C])C(=O)[C]C(=O)C(F)(F)F
[C][C](S[C]1[C][C]1)[C]([C][S])C(=O)[C]C(=O)C(F)(F)F
O=C([C]C(=O)C(F)(F)F)[C]1C(=S)[C]=[C]C1=S
O=C([C]C(=O)C(F)(F)F)[C]1S[C]=[C]S1
O=C([C]C(=O)C(F)(F)F)[C]1[C][C][C][C]1[S]
[C][C][C]1[C]C(=S)[C](C(=O)[C]C(=O)C(F)(F)F)[C]S1
O=C([C]C(=O)C(F)(F)F)[C]1[C]S[C]2[C][C]2[C]C1=S
O=C([C]C(=O)C(F)(F)F)[C]1[C][C][C][C]1
[C]c1[c][c][c]c([N]C(=O)[C]C(=O)C(F)(F)F)n1
[C]C([C])([C])C(=O)[C][C]=O
[C]C([C])([C])C(=O)/[C]=C(\[O])C(F)(F)C(F)(F)C(F)(F)F
O=C([C]C(=O)C(F)(F)C(F)(F)F)c1[c][c]c2c([c]1)[C]=C1[C][C]=[C][C]=C12
O=C([C]C(=O)C(F)(F)C(F)(F)F)c1[c][c]c2c([c]1)[C]=C1[C]=[C][C]=[C][C]12
O=C([C]C(=O)C(F)(F)C(F)(F)F)c1[c][c]c2c([c]1)=[C][C]1[C]=[C][C]=[C]C=21
O=C([C]C(=O)C(F)(F)C(F)(F)F)C1=[C][C]2[C]=c3[c][c][c][c]c3=C2[C]=[C]1
O=C([C]C(=O)C(F)(F)C(F)(F)F)c1[c][c]c2c([c]1)[C]c1[c][c][c][c]c1-2
O=C([C]C(=O)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F
O=C([C]C(=O)[C@]12[C]3[C][C][C]1[C]2[C]3)C(F)(F)C(F)(F)C(F)(F)F
O=C([C]C(=O)C(F)(F)C(F)(F)C(F)(F)F)[C]C1(F)[C](F)[C](F)[C]1F
O=[C][C]C(=O)C(F)(F)C(F)(F)C(F)(F)F
O=C([C]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
